input_sentence,label_sentence
''RT USER : USER USER ثأرنا لن نتركه وسنأخذه ضعفيناستعدوا يا مملكة <extra_id_0> الداعشيةفوالله العظيم انكم حفرتم <extra_id_1> </s>,<extra_id_0> الارهاب <extra_id_1> قبوركم بأي…'' </s>
لا حول ولا قوة الا بالله <extra_id_0> </s>,<extra_id_0> العلي </s>
'وستتطرق الاتصالات الاميركية – السورية المقبلة ايضا الى القضايا الآنية والملحة والمقلقة لواشنطن وتحديدا تسليح '' حزب <extra_id_0> والوضع المتأزم والمتفاقم بين الحزب واسرائيل وضرورة احتواء الوضع ومنعه من الانزلاق الى مواجهة دموية تقول <extra_id_1> كارثية على جميع <extra_id_2> </s>,<extra_id_0> الله '' <extra_id_1> واشنطن انها ستكون <extra_id_2> الاطراف' </s>
مع انا كلنا والله كنا <extra_id_0> فوز غزلان الشمال لكن اكبر تحية الكم على الاداء <extra_id_1> </s>,<extra_id_0> نتمنى <extra_id_1> الرائع اللي </s>
"'أوصت بقرارات <extra_id_0> الجانب الفلسطيني لمناقشتها , وأكدت دعمها لاجراء مفاوضات غير مباشرة بين الفلسطينيين والاسرائيليين '' في ضوء التعهدات الاميركية الجديدة '' . وجاء في بيان صادر عن هذه <extra_id_1> </s>",<extra_id_0> أخذها <extra_id_1> اللجنة في ختام اجتماعها' </s>
الوحدات يفوز على الفيصلي بعشر <extra_id_0> </s>,<extra_id_0> لاعبين </s>
قناة سمور هل سيتم عرض مسلسل ابو غالب في <extra_id_0> </s>,<extra_id_0> شهر رمضان </s>
بالنسبة لمنتخب الناشئين <extra_id_0> من الاتحاد ان ينتبه الى ان الوقت يمر سريعا والمنتخب يخسر خصوصا مع المنتخب العراقي وفي ثلاث مناسبات وبالنتائج التالية 9 - 1 و 2 - <extra_id_1> </s>,<extra_id_0> ارجو <extra_id_1> 1 واخيرا 4 - </s>
الف مبروك لنادي ذات راس التاهل وانشالله الثبات <extra_id_0> </s>,<extra_id_0> في دوري </s>
وقال : قدمنا ثلاثة اقتراحات تتعلق بالعودة الى المفاوضات المباشرة وهي اصدار بيان من الرئيس الامريكي يحدد مرجعية المفاوضات والاقتراح الثاني عقد لقاء ثلاثي بين السلطة الفلسطينية والولايات المتحدة <extra_id_0> لتحديد مبادئ <extra_id_1> </s>,<extra_id_0> واسرائيل <extra_id_1> المفاوضات ، وتم رفضهما </s>
8 - مع ان الحكم تغاضى عن طرد حسونة في الاضافي و <extra_id_0> </s>,<extra_id_0> لكنه حكم </s>
4 بالتوفيق للمحترفين <extra_id_0> </s>,<extra_id_0> في </s>
كما راينا بعض اداريي النادي الفيصلي و <extra_id_0> </s>,<extra_id_0> تصرفاتهم </s>
بضمانات دولية تلبي الحد الأدنى للحقوق المشروعة والمنصوص عليها في قرارات <extra_id_0> </s>,<extra_id_0> الأمم المتحدة </s>
الف مبروك لنا هذا <extra_id_0> </s>,<extra_id_0> الصرح </s>
''RT USER : <extra_id_0> عاشوراء كما وصفه سيد الخلق محمد للمسلمينويوم عاشوراء كما وصفه الخميني الهالكللشيعة URL <extra_id_1> </s>,<extra_id_0> شاهد يوم <extra_id_1> …'' </s>
في نظره عطف قال لي اذهب واجلس في سيارتك وحركها تحت الظل وستدخل وهذا بسبب <extra_id_0> لركاب السيارة أما انا <extra_id_1> </s>,<extra_id_0> حنانه المفاجئ <extra_id_1> فلا </s>
الشاطر حسن سجل هدفه الاول بقلبه مقدما احلى هدية من القلب لجمهوره وعشاقه <extra_id_0> </s>,<extra_id_0> وما اكثرهم </s>
تحدث إصابات وهاذا <extra_id_0> </s>,<extra_id_0> ألإطلاق </s>
ما رأيك في أن تحج و تعتمر عشر مرات في شهر رمضان ؟ <extra_id_0> أن تقوم بهذا ثلاثين مرة . <extra_id_1> </s>,<extra_id_0> بل يمكنك <extra_id_1> . </s>
و شكرا . <extra_id_0> </s>,<extra_id_0> . </s>
نرجو تغريمهم الغرامة المناسبة <extra_id_0> </s>,<extra_id_0> بسبب </s>
السبب بختصار ما حصل لهم <extra_id_0> </s>,<extra_id_0> في </s>
المشروع بيئي كبير على <extra_id_0> </s>,<extra_id_0> مستوى </s>
''كثير من الناس <extra_id_0> فكرة اوبر او كريمومايدري انه جميع موظفينهم عليهم رقابة شديدة من الشركة لان جميع معلوماتهم الشخصية <extra_id_1> </s>,<extra_id_0> ماتقبل <extra_id_1> مسجلة ١اوبركريم'' </s>
''صحيفة النبأ خريطة: مساحة احتلال داعش تتقلص بسرعة <extra_id_0> </s>,<extra_id_0> URL `'' </s>
شكرا لك <extra_id_0> هذا الموضوع في صحيفة هي الاعرق والافضل ، واود ان أسال ادارة النادي <extra_id_1> هي الاسباب عن الغياب الغير مبرر <extra_id_2> والتدريبات ام ان النادي <extra_id_3> لكم بدل مواصلات وحاسبينه جيدا ، اما الهيئة العامة فماذا بيدها <extra_id_4> اذا كانت ادارة منتخبه تغيب عن الفريق هل ينزلون بالمظلات ام بالبرشوتات ، ناهيك ان اوقات المباريات في اغلب الاحيان غير مناسب وحضور المباريات في صالة الحسن مثل الدخول الى فرن ، وبالتالي كلنا امل ان <extra_id_5> الحسين الغالي الى منصات <extra_id_6> </s>,<extra_id_0> على طرح <extra_id_1> ما <extra_id_2> عن المباريات <extra_id_3> لايصرف <extra_id_4> يا سيد علي <extra_id_5> تتجه يد <extra_id_6> التتويج رغم كل </s>
وحدوث الطفرة الجينية أمر طبيعي ولكن ليس بهذا <extra_id_0> </s>,<extra_id_0> القدر </s>
'' USER USER USER USER اخوتنا <extra_id_0> تعترف بمسافات ولاتحتاج سفارات فلسطين في القلب ولااعترف <extra_id_1> </s>,<extra_id_0> لا <extra_id_1> بكيان لالجألسفارته'' </s>
تنويه لجريدة الغد ولمن له حق <extra_id_0> </s>,<extra_id_0> في </s>
اجنماعات مكوكية عربية للمضي قدما باتجاه المفاوضات المباشرة من أجل تحقيق دولة فلسطينية مزعومة <extra_id_0> بملء فمه أن ليس هناك دولة على حدود 67 ولا تفكيك <extra_id_1> ولا تجميد للاستيطان وأن القدس يهودية <extra_id_2> </s>,<extra_id_0> ، والطرف الآخر يصرح <extra_id_1> للمستوطنات <extra_id_2> موحدة </s>
هل رأيتم أننا نثور و لا نفكر ! ! نهتف بإسم الدين و <extra_id_0> ! و نجهل ما نقول ! <extra_id_1> </s>,<extra_id_0> لا نفعل <extra_id_1> ! </s>
يلعب للمنتخب كما <extra_id_0> </s>,<extra_id_0> يلعب </s>
للاسف يعني لاعب لا يحصل على راتبه الشهري <extra_id_0> يجد اي اهتمام اداري وبالنهاية مطالب بتحقيق البطولات او على الاقل الظهور بمظهر جيد . يبدو ان بعض الاندية لا تركز الا على كرة القدم فقط وتهمل <extra_id_1> اتساءل عن <extra_id_2> باحتضان هذه <extra_id_3> </s>,<extra_id_0> ولا <extra_id_1> بقية الالعاب وهنا <extra_id_2> جدوى الاستمرار <extra_id_3> الالعاب </s>
USER مقارنة بسعرها مافيها شيء مميز ابدا أو غريب <extra_id_0> مو ستايل غوتشي أقرب لمارك <extra_id_1> </s>,<extra_id_0> غير كذا <extra_id_1> جاكوب </s>
القاهرة <extra_id_0> - 2010 وفا - يعقد الرئيس محمود عباس يوم غد الخميس لقاء قمة مع نظيره المصري محمد حسني مبارك ، في مقر الرئاسة المصرية بحي مصر الجديدة <extra_id_1> </s>,<extra_id_0> 11 - 8 <extra_id_1> شرق القاهرة </s>
انا لله و انا اليه راجعون . لا تدري كل نفس كيف و <extra_id_0> </s>,<extra_id_0> بأي ارض </s>
"هذا أحسن وسيله يكون الزوجين منفصلين <extra_id_0> النوم , وحتي انا جربتها , فعلا 100 % بتكون مرتاح و انا بنصح كل المتزوجين <extra_id_1> </s>",<extra_id_0> بغرف <extra_id_1> يجربوا ولو مره </s>
وأخرجونا من بيوتنا <extra_id_0> </s>,<extra_id_0> وظاهروا </s>
رحمة الله على هذين الشابين فقد خسر الوطن زهرتين في مقتبل العمر . و أرجو من شركة الكهرباء توثيق و تحسين جهودها في منطقة الأغوار فقد شهدت العديد من <extra_id_0> هذه المنطقة يقومون بوصل <extra_id_1> الكعربائي من الأعمدة مباشرة لأخذ خط الكهرباء بدون رقابة . <extra_id_2> هنا تقع المسؤولية على <extra_id_3> و في حادثة أخرى قام أحد موظفين الشركة بقطع التيار عن أحد المنازل لعدم دفع الفواتير ! <extra_id_4> صاحب المنزل بسلاحه الرشاش لقتل الموظف <extra_id_5> قطع التيار . . حتى أن <extra_id_6> أحد العاملين بحل المشكلة و توصيل التيار مرة أخرى . أي <extra_id_7> بطريقة الخاوات و عدم دفع ثمن الخدمة ! يجب أن يكون هناك رقابة <extra_id_8> </s>,<extra_id_0> سكان <extra_id_1> التيار <extra_id_2> . و <extra_id_3> السارقين ! <extra_id_4> ! و ذهب <extra_id_5> على <extra_id_6> قام <extra_id_7> توصيل الكهرباء <extra_id_8> عالية جدا و معاقبة السارقين </s>
وبالوالدين إحسانا ! <extra_id_0> </s>,<extra_id_0> ! </s>
ارجو من اصحاب <extra_id_0> </s>,<extra_id_0> الخبرة </s>
و اتمنى التوفيق لجميع <extra_id_0> </s>,<extra_id_0> انديتنا </s>
"اؤيد هذا القرار لما <extra_id_0> فائدة للمجتمع . تخيل لو كل طبيب فاشل عمل في المستشفيات , كيف تؤمن على حياتك <extra_id_1> </s>",<extra_id_0> له <extra_id_1> بين يديه </s>
الكاس محسوم وبدون مجاملات . اخضر للمارد <extra_id_0> </s>,<extra_id_0> وبكل </s>
مبروك فوز الوحدات <extra_id_0> للاسف الشديد لازلنا نشاهد في ملاعبنا عصبية الاعبين التي تعكس ذلك على الجماهير آمل ان نبتعد عن مثل هذه العصبيه بين جميع <extra_id_1> </s>,<extra_id_0> لكن <extra_id_1> الاعبين في جميع </s>
منذ <extra_id_0> والشد والرخي كما ورد في التحليل موجود ولعتقد ان الحكومة بيدها كل الصلاحيات لايجاد المخرج المناسب بالنسبة للتامين الالزامي على <extra_id_1> </s>,<extra_id_0> اكثر من سنتين <extra_id_1> المركبات </s>
حين علمت بالغاء ضريبة المغادرة كنت على يقين ان القرار لن يدوم اكثر من بضعة اشهر وها هو يلغى وتعود الضريبة من جديد شكرا للحكومة <extra_id_0> ظني وظن الشعب <extra_id_1> </s>,<extra_id_0> التي لم تخيب <extra_id_1> الاردني النبيل </s>
هل سنوفيهم حقهم . الان . الجواب عندكم <extra_id_0> </s>,<extra_id_0> يا </s>
